UserID,Source,Date Created,Country,Days Since Last Login,Day 1 Retention,Day 2 Retention,Day 3 Retention,Day 7 Retention,Day 14 Retention,Day 21 Retention,Day 28 Retention,Day 90 Retention,Converted,Day 1 Spend,Day 2 Spend,Day 3 Spend,Day 7 Spend,Day 14 Spend,Day 21 Spend,Day 28 Spend,Day 90 Spend,Trailing 14-Day Spend,classe
1,Cross-Promotion,5/15/2013,DE,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
2,Flurry Video Ads,5/15/2013,US,144,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
3,Flurry Video Ads,5/15/2013,GB,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
4,Cross-Promotion,5/15/2013,US,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
5,Facebook MI Ads,5/15/2013,GB,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
6,Flurry Video Ads,5/15/2013,DE,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
7,Facebook MI Ads,5/15/2013,GB,124,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
8,Facebook MI Ads,5/15/2013,DE,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
9,Organic,5/15/2013,GB,137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
10,Organic,5/15/2013,GB,137,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
11,Flurry Video Ads,5/15/2013,DE,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
12,Flurry Video Ads,5/15/2013,DE,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
13,Facebook MI Ads,5/15/2013,GB,113,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
14,Organic,5/15/2013,US,11,1,0,0,0,0,0,0,0,1,6.61,11.84,17.34,24.51,31.32,34.38,37.93,45,1.82,A
15,Flurry Video Ads,5/15/2013,GB,84,1,0,1,0,0,0,0,0,1,5.48,11.4,15.97,22.49,25.08,27.23,30.23,39.95,0,A
16,Organic,5/15/2013,GB,56,1,0,0,0,0,0,0,0,1,5.51,12.35,15.32,21.49,24.9,30.22,33.92,46.17,0,A
17,Cross-Promotion,5/15/2013,US,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
18,Facebook MI Ads,5/15/2013,US,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
19,Flurry Video Ads,5/15/2013,DE,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
20,Facebook MI Ads,5/15/2013,US,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
21,Organic,5/15/2013,GB,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
22,Flurry Video Ads,5/15/2013,DE,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
23,Facebook MI Ads,5/15/2013,GB,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
24,Cross-Promotion,5/15/2013,DE,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
25,Organic,5/15/2013,GB,139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
26,Facebook MI Ads,5/15/2013,DE,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
27,Cross-Promotion,5/15/2013,US,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
28,Cross-Promotion,5/15/2013,DE,87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
29,Organic,5/15/2013,US,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
30,Flurry Video Ads,5/15/2013,US,152,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
31,Facebook MI Ads,5/15/2013,DE,91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
32,Organic,5/15/2013,GB,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
33,Flurry Video Ads,5/15/2013,GB,152,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
34,Cross-Promotion,5/15/2013,DE,62,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
35,Organic,5/15/2013,US,51,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
36,Flurry Video Ads,5/15/2013,DE,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
37,Organic,5/15/2013,GB,142,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
38,Flurry Video Ads,5/15/2013,DE,173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
39,Facebook MI Ads,5/15/2013,DE,85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
40,Organic,5/15/2013,GB,124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
41,Cross-Promotion,5/15/2013,US,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
42,Organic,5/15/2013,DE,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
43,Flurry Video Ads,5/15/2013,US,153,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
44,Facebook MI Ads,5/15/2013,DE,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
45,Facebook MI Ads,5/15/2013,DE,111,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
46,Facebook MI Ads,5/15/2013,GB,96,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
47,Facebook MI Ads,5/15/2013,US,75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
48,Flurry Video Ads,5/15/2013,GB,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
49,Cross-Promotion,5/15/2013,US,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
50,Organic,5/15/2013,DE,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
51,Facebook MI Ads,5/15/2013,GB,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
52,Facebook MI Ads,5/15/2013,DE,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
53,Cross-Promotion,5/15/2013,DE,114,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
54,Cross-Promotion,5/15/2013,DE,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
55,Flurry Video Ads,5/15/2013,GB,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
56,Facebook MI Ads,5/15/2013,DE,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
57,Flurry Video Ads,5/15/2013,GB,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
58,Organic,5/15/2013,GB,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
59,Cross-Promotion,5/15/2013,US,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
60,Organic,5/15/2013,GB,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
61,Flurry Video Ads,5/15/2013,DE,107,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
